STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA ULA HUKUMET KONAGI
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4821
STATION COORDINATES     : 37.10550N-28.41390E
STATION ALTITUDE (m)    : 615
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 53979/101915
RECORD TIME             : 24/07/2017 06:59:22.000000 (GMT)
NUMBER OF DATA          : 5765
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.129938 (E-W) 0.119803 (U-D) 0.12578
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.002339      0.008316     0.033784
    0.005457     -0.002859     0.038462
   -0.009096     -0.016632     0.016632
   -0.020011     -0.008576     0.000780
   -0.005977     -0.001559    -0.038982
   -0.010395     -0.011435    -0.037162
    0.016112      0.016892    -0.004418
    0.001040      0.008316     0.006237
    0.010395     -0.007796    -0.003898
    0.018971      0.020011    -0.004158
    0.010915      0.015073     0.003638
   -0.002599     -0.010655     0.011694
   -0.029106     -0.010655     0.006497
   -0.022090     -0.002859    -0.014813
   -0.030406      0.000780    -0.015852
    0.001299     -0.000520    -0.002339
    0.020011      0.008056     0.021830
    0.020011      0.005717     0.017672
    0.007796     -0.012474    -0.005977
   -0.014813     -0.010395    -0.022090
    0.000780     -0.004158    -0.029886
   -0.002859      0.006237    -0.003638
    0.002859     -0.000780     0.012214
   -0.011694     -0.009615     0.008316
   -0.004678      0.008576     0.000000
    0.002079     -0.002339     0.001040
   -0.003119     -0.016112    -0.003119
    0.007796     -0.006757    -0.022609
   -0.010655      0.005457    -0.017932
    0.011175      0.019491    -0.004158
    0.017672      0.021570     0.018711
    0.004158      0.010395     0.013254
   -0.008836     -0.010395    -0.018971
   -0.010135     -0.016632    -0.034304
    0.000260      0.002079    -0.023129
    0.003638      0.004938     0.020530
    0.014293     -0.001819     0.035603
   -0.001559      0.000780     0.023129
    0.003378     -0.005198     0.005198
   -0.006237     -0.000780     0.001559
    0.008316      0.002599     0.006757
    0.004678      0.001819    -0.008056
   -0.012994      0.004418    -0.018971
    0.002859     -0.016632    -0.037422
   -0.029886     -0.002339    -0.020530
   -0.003638      0.023129    -0.004678
    0.006757      0.003638    -0.003119
    0.013773     -0.008056     0.015593
    0.003378      0.001299     0.001819
   -0.008836      0.000260     0.027027
    0.036903     -0.012474     0.012474
   -0.021570     -0.016112    -0.040541
   -0.013254     -0.006497    -0.029886
    0.001040      0.002339    -0.029626
   -0.012214      0.011175    -0.014813
    0.019751      0.013773     0.000520
   -0.003638     -0.001040     0.004678
   -0.002079     -0.004938    -0.000260
   -0.012734     -0.010915    -0.003638
    0.000260     -0.011954     0.010655
    0.000260      0.004938     0.009875
   -0.008316      0.000520     0.007796
    0.008836     -0.008056    -0.012214
   -0.009096      0.004678    -0.017412
   -0.001040      0.017932    -0.008056
   -0.007017      0.005457     0.003638
    0.002079     -0.003378     0.020270
    0.014813      0.010915     0.012734
   -0.002079      0.000780     0.016892
   -0.012734     -0.015593     0.005198
   -0.005977     -0.008576    -0.014293
    0.007277     -0.008056    -0.007017
   -0.010395      0.003638    -0.013514
   -0.014813      0.010395    -0.017152
    0.009615      0.009615    -0.008836
    0.023129      0.016632     0.003638
   -0.001040      0.004418     0.012734
    0.003898      0.001040     0.012994
    0.011435      0.004158     0.006757
    0.003378      0.005977    -0.013254
    0.003119     -0.009096    -0.021050
   -0.021570     -0.019751    -0.017412
    0.003898      0.003119    -0.010395
    0.000260     -0.001819    -0.011435
   -0.012734      0.001299    -0.029106
