STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA BODRUM METEOROLOJI MUDURLUGU
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4809
STATION COORDINATES     : 37.03304N-27.43997E
STATION ALTITUDE (m)    : 25
RECORDER TYPE           : Guralp cmg5td
RECORDER SERIAL NO      : T5J71/A1167
RECORD TIME             : 24/07/2017 06:59:25.000000 (GMT)
NUMBER OF DATA          : 2333
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.669047 (E-W) 0.516467 (U-D) 0.437384
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.000269      0.000460     0.000011
   -0.000032      0.000007    -0.000122
   -0.000275      0.000469     0.000014
   -0.000026     -0.000003    -0.000125
   -0.000281      0.000478     0.000017
   -0.000019     -0.000013    -0.000128
   -0.000287      0.000488     0.000020
   -0.000012     -0.000024    -0.000132
   -0.000294      0.000499     0.000024
   -0.000004     -0.000036    -0.000135
   -0.000302      0.000510     0.000028
    0.000005     -0.000049    -0.000140
   -0.000310      0.000522     0.000033
    0.000014     -0.000063    -0.000144
   -0.000319      0.000536     0.000038
    0.000024     -0.000077    -0.000150
   -0.000329      0.000550     0.000044
    0.000035     -0.000093    -0.000156
   -0.000339      0.000566     0.000051
    0.000047     -0.000110    -0.000163
   -0.000351      0.000583     0.000058
    0.000060     -0.000129    -0.000171
   -0.000364      0.000601     0.000067
    0.000074     -0.000150    -0.000180
   -0.000379      0.000622     0.000077
    0.000090     -0.000172    -0.000191
   -0.000395      0.000644     0.000089
    0.000108     -0.000196    -0.000203
   -0.000413      0.000669     0.000103
    0.000127     -0.000223    -0.000219
   -0.000433      0.000696     0.000121
    0.000149     -0.000252    -0.000238
   -0.000456      0.000725     0.000142
    0.000174     -0.000283    -0.000261
   -0.000481      0.000757     0.000168
    0.000202     -0.000318    -0.000290
   -0.000510      0.000792     0.000202
    0.000233     -0.000354    -0.000329
   -0.000543      0.000828     0.000247
    0.000268     -0.000391    -0.000382
   -0.000578      0.000863     0.000310
    0.000305     -0.000425    -0.000457
   -0.000615      0.000893     0.000401
    0.000340     -0.000448    -0.000571
   -0.000645      0.000903     0.000547
    0.000360     -0.000438    -0.000763
   -0.000640      0.000857     0.000811
    0.000304     -0.000329    -0.001145
   -0.000460      0.000632     0.001412
   -0.000243      0.000129    -0.002212
    0.003661     -0.000370     0.003784
   -0.002744      0.002821    -0.019006
   -0.004050     -0.024095     0.001594
