STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA BOZBURUN ILKOGRETIM OKULU
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4815
STATION COORDINATES     : 36.68860N-28.04600E
STATION ALTITUDE (m)    : 10
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 53997/101909
RECORD TIME             : 24/07/2017 06:59:27.000000 (GMT)
NUMBER OF DATA          : 5374
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.503382 (E-W) 0.349015 (U-D) 0.134876
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.026767      0.097714     0.026767
   -0.037422      0.011694    -0.039761
   -0.040021     -0.103431    -0.025208
   -0.012214     -0.074325     0.028327
    0.028067      0.056653    -0.008836
    0.034304      0.072506     0.000260
   -0.020790     -0.006497     0.021310
   -0.033004     -0.011435    -0.018711
    0.027027     -0.012734    -0.001040
    0.019491     -0.021050     0.002339
   -0.014553      0.021830    -0.010135
   -0.013514     -0.006497     0.015333
   -0.011435     -0.027547    -0.016372
    0.028327      0.018711     0.000520
   -0.002859      0.002859     0.017412
   -0.010135      0.018971    -0.011435
    0.025728      0.040281     0.008056
   -0.024688     -0.044439    -0.010655
    0.002599     -0.045738    -0.005457
    0.002859      0.014553     0.011694
   -0.007017      0.038202    -0.006237
    0.020530      0.036643     0.010135
   -0.028067     -0.023649    -0.007277
    0.000000     -0.022869    -0.018971
    0.004418     -0.026507     0.012214
    0.003898     -0.013254    -0.002079
    0.042620      0.049377    -0.003898
   -0.021830      0.012734     0.015852
   -0.016112     -0.003898    -0.009875
    0.002079     -0.019491    -0.009356
   -0.040281     -0.023389     0.007536
    0.013254      0.030146    -0.003898
    0.026248      0.022869     0.005457
    0.002079     -0.005717     0.005198
    0.014553     -0.028067    -0.013254
   -0.010135     -0.002599    -0.001819
    0.002859      0.026248     0.009356
   -0.013254     -0.005717    -0.000260
   -0.015333     -0.007017    -0.010395
    0.024688     -0.006497    -0.004158
