STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA OREN BELEDIYE
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4819
STATION COORDINATES     : 37.03130N-27.97120E
STATION ALTITUDE (m)    : 10
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 53977/101913
RECORD TIME             : 24/07/2017 06:59:24.000000 (GMT)
NUMBER OF DATA          : 5526
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.991951 (E-W) 1.205569 (U-D) 0.840702
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.005717     -0.005717    -0.012994
   -0.025728      0.003378     0.001040
    0.010915     -0.009875     0.010135
   -0.005457      0.009356    -0.001299
   -0.000780      0.008576    -0.007796
    0.004418     -0.015852     0.004418
    0.008836      0.000520     0.001559
    0.006757     -0.006497    -0.001040
   -0.010655      0.012734    -0.007017
    0.003638     -0.010655     0.003119
   -0.018451      0.001819     0.008836
    0.002339     -0.003898     0.011954
    0.009356     -0.009096     0.012214
    0.011435      0.011175     0.001819
    0.005977     -0.010395     0.007277
   -0.009615      0.018711    -0.007277
    0.000000     -0.008056    -0.004678
   -0.008576     -0.003898     0.012214
    0.006757      0.016632     0.001299
   -0.004678      0.002599    -0.020011
    0.007536     -0.018711    -0.009615
    0.004158     -0.018711     0.018711
   -0.004158      0.030406     0.003119
    0.005198     -0.000520     0.001040
   -0.000780     -0.000780    -0.000780
    0.014553      0.000260    -0.010655
   -0.010135     -0.005198     0.001040
    0.004418      0.004678    -0.000780
    0.005198     -0.007277    -0.001559
    0.007277     -0.000780    -0.006237
    0.009875     -0.008576    -0.008576
   -0.013773      0.005717    -0.005457
    0.004678     -0.004678    -0.003638
   -0.003898      0.007017    -0.004938
    0.011954     -0.003898    -0.006497
   -0.003638     -0.011175     0.006237
