STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA SELIMIYE ORMAN ISLETME SEFLIGI
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4814
STATION COORDINATES     : 37.39910N-27.65670E
STATION ALTITUDE (m)    : 63
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 53831/101902
RECORD TIME             : 24/07/2017 06:59:22.000000 (GMT)
NUMBER OF DATA          : 5938
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.246883 (E-W) 0.301457 (U-D) 0.156186
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.006757      0.032225     0.006237
   -0.011175      0.023649    -0.003898
   -0.012214      0.013254    -0.004938
    0.009875      0.018711     0.010135
   -0.003119      0.017152    -0.005457
   -0.013514      0.023649    -0.001559
   -0.015593      0.017672     0.006497
   -0.007796      0.027287    -0.002079
    0.003898      0.030925     0.005977
   -0.006237     -0.001559    -0.010915
   -0.004158      0.023909     0.006757
   -0.001559      0.034304     0.003638
   -0.014813      0.017932    -0.015333
   -0.014553      0.024428     0.014813
   -0.000780      0.016632    -0.009875
    0.003898      0.014293     0.001559
   -0.007277      0.023389     0.007796
   -0.016892      0.025468    -0.009875
   -0.010655      0.010655     0.011694
   -0.004678      0.030146    -0.005198
    0.006237      0.034044     0.000520
    0.002339      0.002599    -0.003119
   -0.017412      0.024688    -0.002079
   -0.004158      0.028327     0.012214
   -0.008056      0.008056    -0.011435
   -0.019751      0.026507     0.008576
   -0.001299      0.025988     0.002339
    0.003378      0.005977    -0.011694
    0.002859      0.022349     0.009096
   -0.016372      0.032745    -0.005977
   -0.017152      0.013773     0.003638
    0.003119      0.027547     0.004678
   -0.009615      0.027807    -0.007017
    0.003638      0.007017     0.001299
   -0.002599      0.017932    -0.002079
   -0.019491      0.018191     0.003638
   -0.009356      0.019751    -0.002859
   -0.010915      0.032745     0.003898
    0.013514      0.036123    -0.000780
   -0.004158     -0.004158    -0.011435
   -0.012214     -0.012994     0.013773
    0.001559      0.030146    -0.001299
   -0.014553     -0.004418    -0.009356
    0.015073      0.000520     0.009615
    0.007536      0.008056    -0.009615
   -0.000520     -0.024428    -0.004418
    0.006237      0.005717     0.003638
   -0.012734      0.000520    -0.008836
    0.004158     -0.013514     0.005977
    0.003898     -0.007277    -0.007277
    0.003638      0.005977    -0.002859
    0.008056     -0.004418     0.002079
   -0.002079     -0.017932    -0.011435
    0.000000     -0.000260     0.005977
    0.001819     -0.009615    -0.002859
    0.011435      0.005198    -0.001040
   -0.002599      0.002599    -0.007017
   -0.009615     -0.020011    -0.001819
    0.016632      0.002859     0.003898
   -0.004418     -0.003898    -0.008836
   -0.001819     -0.016632     0.006237
    0.010395      0.029106    -0.002599
   -0.018191      0.024948    -0.000520
   -0.008056     -0.010395     0.000260
    0.003638      0.004938    -0.001040
    0.004158      0.016892    -0.000260
   -0.007277      0.027547    -0.000520
   -0.012734      0.020790     0.003378
   -0.008576      0.018711    -0.002599
   -0.003898      0.016372    -0.001299
    0.004678      0.012734    -0.002339
   -0.019231      0.038462     0.006237
   -0.010915      0.022090     0.000000
    0.008836      0.008836    -0.005717
   -0.020270      0.006757     0.001559
   -0.004938     -0.000780     0.002859
    0.023389      0.010655    -0.004158
   -0.016892      0.011435    -0.001559
   -0.008316      0.028586     0.003378
    0.001819      0.023909     0.000780
   -0.021310      0.016372     0.003638
   -0.002859      0.010135    -0.007796
   -0.001819      0.016372     0.006237
   -0.005457      0.038462     0.005717
   -0.017932      0.005457    -0.005977
   -0.009615      0.030665     0.005198
   -0.004938      0.026767     0.000260
   -0.003378     -0.002599    -0.002079
    0.008056      0.036643    -0.000520
   -0.017932      0.013773    -0.000260
   -0.015073      0.015852     0.003119
   -0.006757      0.032225     0.003378
    0.013773      0.020790    -0.002339
   -0.009615      0.016372     0.002599
   -0.029366      0.015333     0.000000
    0.008576      0.030665     0.002339
   -0.013773      0.008056    -0.000520
   -0.005457      0.032225    -0.002079
    0.007536      0.036903     0.007536
   -0.013773     -0.007796    -0.005457
   -0.004938      0.030406     0.001040
   -0.004938      0.018711     0.001819
   -0.009356     -0.013254     0.000000
    0.013514      0.008316    -0.001819
    0.005717     -0.017152    -0.007017
   -0.008836     -0.007017     0.000520
    0.008316      0.019231    -0.004158
   -0.012474      0.008836    -0.001040
   -0.000780      0.019231     0.000000
    0.009875     -0.004418    -0.001559
   -0.007536     -0.008576    -0.001559
    0.003638     -0.001040    -0.000520
   -0.005457     -0.018191    -0.001299
    0.004938      0.001819    -0.003119
    0.015333     -0.001040    -0.002079
    0.009875      0.004678    -0.005457
   -0.007277     -0.000260    -0.000520
   -0.015073     -0.031705     0.000260
    0.018191      0.004418    -0.001819
   -0.006757      0.014293     0.000780
   -0.012734      0.012994     0.000000
    0.001559      0.039501    -0.000260
   -0.020270      0.010395    -0.000520
    0.007277      0.007017    -0.001559
    0.002079      0.028067    -0.000520
   -0.014033      0.030925     0.002079
   -0.008316      0.020270     0.000520
   -0.018711      0.005977     0.002859
   -0.004418      0.032745     0.008836
    0.007017      0.028586    -0.009875
   -0.010915      0.004938    -0.009096
   -0.010915      0.023389     0.011694
    0.009615      0.024948    -0.004158
   -0.008056      0.019231    -0.004678
   -0.020530      0.024428     0.006237
   -0.002079      0.012474    -0.004678
    0.002859      0.019751    -0.001040
   -0.009356      0.024428     0.006237
   -0.011175      0.026248    -0.004418
   -0.007277      0.024948     0.004158
   -0.008836      0.008316     0.000000
   -0.005717      0.005977    -0.004678
    0.001040      0.022090     0.007536
   -0.002599      0.039241    -0.007796
   -0.011435      0.022609     0.002079
   -0.005977      0.021570     0.002599
   -0.013254      0.019751     0.000780
   -0.003378      0.010395     0.001040
    0.003638      0.008056    -0.006757
   -0.015073      0.024948     0.011694
   -0.009875      0.038722    -0.001819
   -0.006757      0.003378    -0.006237
   -0.005717      0.027287     0.006757
    0.002079      0.035343    -0.004418
   -0.006237     -0.004418    -0.002599
   -0.014553      0.018971     0.002859
   -0.008836      0.031185     0.003119
    0.000000      0.026248     0.002079
    0.004938      0.026248    -0.009615
   -0.012474     -0.003638     0.000520
   -0.014293      0.015852     0.004678
   -0.010915      0.037422    -0.000520
    0.000000      0.017152     0.001819
    0.008056      0.030665    -0.006497
   -0.019231      0.014813     0.006757
   -0.002859     -0.004158     0.001819
    0.000780     -0.001040    -0.009615
    0.000780     -0.005457     0.002599
    0.016112     -0.000780    -0.007017
   -0.008836     -0.004678    -0.003119
   -0.002859     -0.005717     0.003378
    0.010395     -0.011954    -0.006237
   -0.002859     -0.005717     0.001559
    0.008836      0.003119     0.000520
    0.006497     -0.009615    -0.010655
   -0.008836     -0.003638     0.000780
    0.010135      0.000520     0.001299
    0.002079     -0.008316    -0.006757
    0.001559     -0.006237    -0.001299
    0.001819      0.000260    -0.002859
   -0.010655      0.014033     0.004678
    0.008576      0.005198    -0.006497
   -0.001559     -0.017932    -0.006497
   -0.000520     -0.002859     0.009356
    0.011175      0.001559    -0.010395
    0.003638     -0.004158    -0.002079
   -0.005717      0.001040     0.001040
    0.000260     -0.012994    -0.006237
    0.007796     -0.004158     0.005457
   -0.003119     -0.004678    -0.008316
    0.012214     -0.008056    -0.003898
   -0.002339      0.014293     0.003378
   -0.016632      0.011435    -0.005198
   -0.004938      0.028327     0.004158
   -0.006757      0.022090    -0.002859
   -0.002339      0.009875    -0.001819
   -0.013514      0.028327     0.007796
   -0.001299      0.014033    -0.003119
    0.003119      0.022869     0.000520
   -0.023909      0.030665    -0.000780
