STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA YERKESIK ORMAN ISLETME MUDURLUGU
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4808
STATION COORDINATES     : 37.13920N-28.28725E
STATION ALTITUDE (m)    : 661
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 52623/101129
RECORD TIME             : 24/07/2017 06:59:24.000000 (GMT)
NUMBER OF DATA          : 5592
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.224014 (E-W) 0.199845 (U-D) 0.089917
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.000520      0.001040     0.002339
    0.001040      0.004158     0.007017
   -0.018191     -0.009615    -0.010135
    0.008836      0.012734    -0.000520
   -0.026248      0.007277     0.001559
    0.015852     -0.014813    -0.009356
   -0.003119      0.004418     0.007017
    0.008316      0.006237    -0.001819
    0.002859     -0.001299    -0.007277
   -0.007536     -0.005457    -0.001559
    0.017672      0.016372     0.004418
   -0.021050     -0.002339    -0.000780
    0.007017     -0.008056    -0.001819
   -0.014033     -0.000780    -0.002339
    0.018451     -0.000520    -0.002339
    0.004938      0.014813     0.004678
   -0.011435     -0.001819    -0.000780
   -0.001040      0.004938     0.001040
   -0.015852     -0.006497    -0.006757
    0.027807     -0.002859     0.009875
   -0.017672     -0.005977    -0.005198
    0.001559     -0.001040    -0.015073
   -0.005717      0.027807     0.015852
    0.005457     -0.000260    -0.013773
    0.012994     -0.008576     0.000780
   -0.014033     -0.012994     0.012214
    0.008056     -0.003898    -0.014293
   -0.018451      0.009096    -0.001040
    0.019491      0.014553     0.000260
   -0.015073      0.002079    -0.009096
   -0.006237     -0.012474     0.003378
    0.008576     -0.005457     0.010915
   -0.001559     -0.008836    -0.006497
    0.017932      0.018451     0.000520
   -0.018451      0.007017    -0.002339
    0.013773     -0.002599    -0.001819
   -0.012474      0.001040     0.002599
   -0.000780      0.000260    -0.003119
   -0.000780      0.004678     0.004938
    0.001299     -0.016892    -0.007017
    0.016632      0.003119     0.001559
   -0.018191      0.005717     0.000780
    0.011175      0.005457     0.000000
   -0.021310      0.004678     0.003378
    0.007796     -0.004678    -0.001819
    0.003119     -0.002079     0.004938
    0.001559     -0.008316    -0.003638
    0.012734      0.008576     0.002599
   -0.019231      0.000260    -0.003898
    0.012994      0.007277    -0.002079
   -0.018451      0.008576     0.000260
    0.004678     -0.010655    -0.003119
   -0.004938     -0.009096     0.002599
    0.008576     -0.003378     0.001819
    0.008576      0.007277     0.004158
   -0.015333      0.001040    -0.009356
    0.011954      0.010135     0.004938
   -0.017932      0.001819    -0.003638
    0.018191     -0.009356    -0.005977
   -0.008836     -0.011435     0.009356
   -0.000260     -0.003119    -0.007796
   -0.000520      0.013514     0.004418
   -0.002859      0.005457    -0.002339
    0.011954      0.007017    -0.003119
   -0.022609     -0.010655     0.003119
    0.015593     -0.003119     0.000520
   -0.005977      0.001299    -0.001299
    0.016632      0.000780    -0.000260
   -0.020011      0.010135     0.005457
   -0.016372     -0.004678    -0.008316
    0.023129      0.001819    -0.000260
   -0.001299     -0.004938    -0.005977
    0.011954      0.002599     0.003119
   -0.030665     -0.000520     0.002859
    0.012994      0.002339    -0.006757
   -0.001819      0.012734     0.007796
    0.000260     -0.002339     0.000000
    0.010655     -0.005198     0.006497
   -0.003638     -0.013254    -0.008836
    0.015333      0.015073    -0.001559
   -0.031705      0.000780     0.008316
    0.010395     -0.010395    -0.002079
    0.003119      0.010395     0.002859
    0.011435      0.002859    -0.004158
   -0.007536      0.000520     0.002079
   -0.016112     -0.020790    -0.004158
    0.025728      0.001819    -0.003119
   -0.008316      0.012474    -0.003898
    0.007536      0.008056     0.009615
   -0.023389      0.001559     0.004678
    0.012734     -0.005198    -0.011175
    0.008316      0.007017     0.008316
   -0.007277     -0.016632    -0.004938
    0.010135     -0.005457     0.002859
   -0.014553      0.006497    -0.000260
    0.018191      0.009615     0.004158
   -0.018711      0.003898     0.002339
    0.009875     -0.007017    -0.010395
    0.002339      0.001559     0.012474
   -0.004158      0.001040    -0.009875
    0.003898     -0.001559     0.000000
   -0.011954     -0.012734     0.004158
    0.023649      0.008836    -0.001559
   -0.018191      0.015073     0.003638
    0.004938     -0.002079    -0.013514
   -0.002859     -0.017412     0.003119
    0.010655     -0.003378     0.005717
    0.005198      0.012734    -0.002859
   -0.016632      0.002599    -0.008056
    0.004938      0.015333     0.005198
   -0.018451     -0.013254    -0.001040
    0.030665     -0.009615    -0.007796
   -0.001040      0.003638     0.004158
   -0.005198     -0.003638    -0.002859
   -0.021570      0.016372     0.011175
   -0.005977      0.003638     0.000000
    0.031965      0.000780    -0.003378
   -0.011435     -0.011954    -0.001040
    0.012474     -0.005977     0.001559
   -0.022609      0.002339     0.006757
    0.008576      0.000780    -0.005198
   -0.003638      0.015073     0.001040
   -0.007017     -0.000260    -0.006237
    0.014033     -0.000780     0.002079
   -0.008576     -0.012734     0.002599
    0.015333     -0.005198    -0.002079
   -0.028846      0.005717     0.004418
    0.010915      0.008056     0.001819
   -0.000520      0.011435    -0.003119
    0.008576     -0.011954    -0.007536
    0.007796     -0.005717     0.002339
   -0.019231     -0.005198    -0.002339
    0.009356      0.006497     0.001299
   -0.023649      0.005717    -0.002339
    0.017932      0.001559     0.004158
   -0.004678      0.000520     0.003898
    0.010915     -0.013254    -0.006237
    0.004938      0.004678     0.002859
   -0.013254      0.008576    -0.007017
    0.010395      0.010135     0.012214
   -0.020530     -0.009356     0.000260
    0.013773     -0.004678    -0.007017
   -0.007277     -0.001819     0.001819
    0.017152     -0.010655    -0.007277
   -0.005198      0.014033     0.013254
   -0.018971      0.011954    -0.001559
    0.007277      0.007796    -0.004938
   -0.005198     -0.012994     0.000520
    0.024428     -0.005717    -0.000780
   -0.018451      0.001819     0.002079
    0.002599     -0.000780    -0.005198
   -0.006237      0.000520     0.003378
    0.001559      0.001819     0.003119
    0.004678      0.023909    -0.001559
   -0.016372     -0.013254    -0.008316
    0.018971     -0.017672     0.003378
   -0.017932      0.001040     0.001299
    0.011694      0.004938    -0.006497
   -0.008056      0.004678     0.003119
    0.002079     -0.002599    -0.000520
    0.006757      0.011694     0.002599
   -0.008836     -0.005977    -0.005457
    0.021830     -0.006757     0.002079
   -0.022869     -0.004158     0.001299
    0.005198      0.007277    -0.000780
   -0.016372      0.012214     0.002339
    0.009615     -0.002859    -0.008836
    0.015073      0.001559     0.001559
   -0.006757     -0.009615    -0.005457
    0.009875     -0.002859     0.000260
   -0.020270     -0.001040     0.000260
    0.014553      0.007277    -0.001299
   -0.013254      0.006757     0.004678
    0.008056     -0.002079    -0.006497
    0.001299     -0.002079     0.002079
    0.001559     -0.003119     0.002599
    0.005717      0.007536    -0.002859
   -0.020530     -0.007017    -0.003378
    0.017152      0.005457     0.010655
   -0.012474      0.002079    -0.005977
    0.013514     -0.003378    -0.009096
   -0.006237      0.001819     0.008576
    0.000780     -0.000260    -0.004678
    0.000780      0.008836     0.001040
   -0.014293     -0.010395    -0.003898
    0.015073     -0.001819     0.003119
   -0.010395     -0.005457    -0.001040
    0.020790      0.006237    -0.001299
   -0.016372      0.007017     0.007796
   -0.002859     -0.011694    -0.003378
    0.005977      0.004158     0.005717
   -0.002599     -0.006757    -0.002859
    0.006237      0.008316    -0.003638
   -0.021830     -0.002599    -0.006757
    0.021310      0.001559     0.002599
   -0.011175      0.008316     0.004678
    0.002859     -0.015593    -0.011175
   -0.002599      0.003898     0.005198
    0.004158      0.002339    -0.000780
    0.016892      0.004158    -0.001559
   -0.025208     -0.002859    -0.003638
    0.009875      0.000520    -0.002079
   -0.013773     -0.001040     0.001299
    0.014293     -0.003898    -0.003378
   -0.007277      0.008316     0.006497
   -0.001559     -0.003638    -0.007017
    0.018711      0.004418     0.000520
   -0.012734     -0.002339     0.003378
    0.004158     -0.004418    -0.003638
   -0.021310     -0.003898     0.002079
    0.018971      0.004938     0.001559
   -0.007536      0.007017    -0.001819
    0.005717     -0.003638    -0.003898
    0.008836      0.003638     0.005717
   -0.009615     -0.009096    -0.004418
